Country,ISO3,LocationCode,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,TotalPop_thousands,Under40_thousands,Under40_pct,Under20_thousands,Under20_pct,Age0to4_thousands,Age0to4_pct,Over65_thousands,Over65_pct
San Marino,SMR,674,2025,1.06,1.29,1.63,1.75,1.77,1.71,1.59,1.67,2.02,2.53,2.89,3.06,2.82,2.14,1.76,1.55,1.11,0.75,0.37,0.09,0.01,33.57,12.48,37.17,5.73,17.07,1.06,3.16,7.77,23.15
"Bonaire, Sint Eustatius and Saba",BES,535,2025,1.6,1.57,1.73,1.75,1.64,1.96,2.5,2.62,2.41,2.2,2.13,2.29,2.29,1.77,1.23,0.87,0.48,0.2,0.08,0.02,0.0,31.34,15.37,49.05,6.66,21.24,1.6,5.12,4.65,14.83
Saint Martin (French part),MAF,663,2025,1.66,1.7,1.89,1.88,1.29,0.76,0.99,1.3,1.46,1.47,1.76,1.92,1.95,1.58,1.27,0.9,0.59,0.35,0.16,0.05,0.01,24.94,11.48,46.01,7.13,28.58,1.66,6.66,4.9,19.65
Palau,PLW,585,2025,0.96,1.03,1.18,1.2,1.03,0.91,1.31,1.34,1.35,1.4,1.4,1.31,1.16,0.9,0.62,0.32,0.16,0.07,0.02,0.0,0,17.66,8.96,50.71,4.37,24.72,0.96,5.42,2.09,11.83
Anguilla,AIA,660,2025,0.69,0.71,0.91,1.18,1.1,0.96,0.87,1.0,1.17,1.06,1.14,1.1,0.92,0.67,0.52,0.35,0.21,0.1,0.04,0.01,0,14.73,7.43,50.44,3.49,23.7,0.69,4.71,1.9,12.93
Cook Islands,COK,184,2025,0.79,1.05,1.27,1.23,0.75,0.48,0.61,0.74,0.78,0.82,0.91,0.96,0.92,0.69,0.5,0.38,0.23,0.1,0.03,0.01,0,13.26,6.93,52.22,4.34,32.74,0.79,5.98,1.94,14.6
Nauru,NRU,520,2025,1.46,1.46,1.55,1.3,0.9,0.83,0.87,0.9,0.81,0.57,0.4,0.34,0.28,0.2,0.11,0.04,0.01,0.0,0,0,0,12.03,9.27,77.07,5.77,47.99,1.46,12.16,0.36,3.01
Saint Barthélemy,BLM,652,2025,0.53,0.76,0.8,0.86,0.8,0.63,0.64,0.7,0.67,0.65,0.74,0.81,0.77,0.64,0.55,0.39,0.24,0.16,0.07,0.02,0.01,11.41,5.71,50.03,2.94,25.73,0.53,4.61,2.07,18.13
Wallis and Futuna Islands,WLF,876,2025,0.47,0.75,0.95,1.01,0.89,0.5,0.55,0.58,0.66,0.83,0.88,0.75,0.68,0.56,0.44,0.34,0.19,0.12,0.04,0.01,0.0,11.19,5.7,50.89,3.18,28.41,0.47,4.23,1.7,15.2
Tuvalu,TUV,798,2025,1.02,1.09,1.02,0.86,0.72,0.69,0.64,0.54,0.42,0.4,0.45,0.52,0.43,0.3,0.16,0.11,0.06,0.03,0.01,0,0,9.49,6.59,69.48,3.99,42.08,1.02,10.76,0.67,7.04
Saint Pierre and Miquelon,SPM,666,2025,0.15,0.23,0.34,0.39,0.31,0.16,0.28,0.3,0.39,0.4,0.46,0.54,0.47,0.39,0.27,0.21,0.14,0.1,0.04,0.01,0,5.57,2.16,38.67,1.11,19.96,0.15,2.77,1.16,20.74
Saint Helena,SHN,654,2025,0.2,0.23,0.27,0.26,0.21,0.19,0.26,0.25,0.32,0.28,0.38,0.45,0.45,0.45,0.35,0.33,0.2,0.09,0.03,0.01,0,5.2,1.87,35.92,0.95,18.31,0.2,3.77,1.45,27.83
Montserrat,MSR,500,2025,0.22,0.24,0.23,0.28,0.22,0.23,0.27,0.32,0.28,0.28,0.29,0.32,0.31,0.27,0.25,0.17,0.1,0.04,0.02,0.01,0,4.36,2.01,46.15,0.97,22.32,0.22,4.99,0.86,19.72
Falkland Islands (Malvinas),FLK,238,2025,0.19,0.17,0.2,0.18,0.14,0.16,0.23,0.25,0.29,0.31,0.34,0.3,0.25,0.18,0.08,0.07,0.06,0.04,0.01,0.0,0,3.47,1.52,43.89,0.74,21.35,0.19,5.52,0.46,13.17
Tokelau,TKL,772,2025,0.25,0.21,0.21,0.25,0.22,0.24,0.21,0.17,0.15,0.13,0.1,0.14,0.11,0.1,0.05,0.03,0.03,0.02,0.0,0,0,2.61,1.76,67.5,0.92,35.35,0.25,9.49,0.22,8.44
Niue,NIU,570,2025,0.12,0.13,0.16,0.17,0.12,0.11,0.09,0.09,0.09,0.13,0.11,0.09,0.11,0.12,0.09,0.05,0.03,0.02,0.0,0,0,1.82,0.97,53.39,0.57,31.39,0.12,6.81,0.31,16.84
Holy See,VAT,336,2025,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.06,0.05,0.03,0.01,0.0,0,0.5,0.14,28.02,0.05,10.07,0.01,1.99,0.21,42.07
