Country,ISO3,LocationCode,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,TotalPop_thousands,Under40_thousands,Under40_pct,Under20_thousands,Under20_pct,Age0to4_thousands,Age0to4_pct,Over65_thousands,Over65_pct
Réunion,REU,638,2025,57.6,59.15,64.04,67.08,57.3,44.39,47.77,53.55,54.54,54.31,57.74,62.41,59.89,47.53,37.83,25.39,16.5,9.72,4.19,1.17,0.31,882.41,450.88,51.1,247.88,28.09,57.6,6.53,142.63,16.16
Solomon Islands,SLB,90,2025,106.08,102.44,98.07,85.53,77.64,67.57,55.23,52.83,46.61,39.81,33.29,24.79,17.98,12.34,8.95,5.13,2.68,1.27,0.35,0.05,0.0,838.65,645.4,76.96,392.12,46.76,106.08,12.65,30.77,3.67
Guyana,GUY,328,2025,80.94,81.82,79.12,73.31,69.42,74.95,66.4,50.22,44.71,44.52,42.27,37.97,31.98,24.15,15.59,9.85,5.15,2.46,0.88,0.22,0.05,835.99,576.19,68.92,315.19,37.7,80.94,9.68,58.36,6.98
Bhutan,BTN,64,2025,48.78,50.72,62.71,66.65,73.39,73.0,81.08,77.0,62.7,51.39,38.47,32.77,25.22,20.46,14.74,9.11,5.32,2.31,0.73,0.12,0.01,796.68,533.34,66.95,228.86,28.73,48.78,6.12,52.8,6.63
"China, Macao SAR",MAC,446,2025,25.35,36.44,37.19,29.82,36.87,49.07,63.99,74.25,62.1,48.38,54.63,45.08,49.86,44.12,31.74,18.75,7.78,4.07,1.87,0.59,0.06,722.01,352.97,48.89,128.8,17.84,25.35,3.51,108.99,15.09
Luxembourg,LUX,442,2025,35.16,35.65,36.34,35.81,37.52,46.94,53.58,54.22,51.92,49.2,47.14,47.05,42.35,33.54,26.26,20.33,13.5,8.78,3.97,1.09,0.12,680.45,335.2,49.26,142.95,21.01,35.16,5.17,107.6,15.81
Suriname,SUR,740,2025,53.37,53.51,55.24,54.58,54.54,52.39,44.97,43.05,42.54,35.8,35.97,32.86,28.61,20.58,14.16,8.47,5.34,2.57,1.01,0.24,0.04,639.85,411.65,64.34,216.7,33.87,53.37,8.34,52.41,8.19
Montenegro,MNE,499,2025,35.58,37.81,39.74,39.9,38.51,37.68,38.15,40.39,44.8,43.41,40.85,39.67,40.48,38.21,32.39,21.09,12.04,8.23,2.97,0.73,0.09,632.73,307.77,48.64,153.04,24.19,35.58,5.62,115.75,18.29
Western Sahara,ESH,732,2025,45.43,46.83,45.66,42.39,42.06,43.93,48.51,55.39,57.67,46.4,35.94,28.18,21.84,17.6,12.32,6.7,2.87,0.92,0.21,0.04,0.01,600.9,370.21,61.61,180.31,30.01,45.43,7.56,40.66,6.77
Malta,MLT,470,2025,21.92,24.24,24.19,23.55,25.83,35.62,48.48,49.9,45.09,40.32,34.3,29.2,30.73,30.96,27.35,25.82,14.46,8.5,3.83,0.91,0.2,545.4,253.73,46.52,93.91,17.22,21.92,4.02,112.03,20.54
Maldives,MDV,462,2025,28.78,33.45,38.6,34.62,30.21,49.21,68.79,68.13,54.37,35.89,26.15,19.79,15.41,11.48,6.24,3.98,2.8,1.27,0.41,0.08,0.01,529.68,351.8,66.42,135.46,25.57,28.78,5.43,26.26,4.96
Cabo Verde,CPV,132,2025,32.87,48.01,49.34,48.41,43.22,42.1,47.2,45.27,37.54,29.59,23.53,22.45,20.07,15.06,9.88,6.53,3.5,2.02,0.63,0.1,0.01,527.33,356.42,67.59,178.63,33.88,32.87,6.23,37.72,7.15
Brunei Darussalam,BRN,96,2025,31.0,32.24,32.95,31.5,35.64,39.15,41.34,41.08,38.37,34.87,30.49,24.71,19.23,14.64,9.69,5.23,2.6,1.2,0.33,0.05,0.0,466.33,284.9,61.09,127.69,27.38,31.0,6.65,33.76,7.24
Belize,BLZ,84,2025,35.7,38.44,36.96,37.87,39.55,39.77,37.69,33.34,28.31,23.57,20.28,16.34,12.99,9.27,6.08,3.61,1.9,0.9,0.28,0.05,0.0,422.92,299.33,70.78,148.97,35.22,35.7,8.44,22.11,5.23
Bahamas,BHS,44,2025,21.76,22.66,26.3,28.86,28.66,31.25,33.75,30.57,27.9,26.89,27.22,26.34,22.11,16.01,11.48,9.27,6.67,3.43,1.36,0.43,0.1,403.03,223.82,55.53,99.59,24.71,21.76,5.4,48.74,12.09
Iceland,ISL,352,2025,23.32,22.71,23.73,25.5,26.19,29.7,33.52,30.16,27.48,25.14,23.64,21.92,21.61,19.98,16.34,12.53,8.04,4.25,1.94,0.51,0.06,398.27,214.85,53.95,95.27,23.92,23.32,5.86,63.63,15.98
Guadeloupe,GLP,312,2025,18.98,19.29,21.8,24.11,21.26,15.36,16.29,17.92,19.48,20.32,27.09,28.99,30.5,26.95,22.85,18.74,11.4,6.83,3.75,1.47,0.41,373.79,155.02,41.47,84.18,22.52,18.98,5.08,92.39,24.72
Martinique,MTQ,474,2025,15.96,16.08,17.97,20.17,17.3,13.45,14.66,17.37,17.16,17.02,24.27,28.58,30.88,26.87,22.24,16.63,11.35,7.55,3.52,1.18,0.25,340.44,132.95,39.05,70.18,20.61,15.96,4.69,89.58,26.31
Mayotte,MYT,175,2025,53.38,46.19,44.05,38.11,23.31,20.27,21.3,20.93,19.21,15.8,10.89,8.15,5.99,4.18,2.38,1.52,0.83,0.38,0.12,0.02,0.0,337.01,267.55,79.39,181.73,53.92,53.38,15.84,9.43,2.8
Vanuatu,VUT,548,2025,44.3,43.24,39.69,33.12,26.89,24.5,24.89,22.14,18.27,12.34,12.94,9.97,8.21,6.23,4.28,2.37,1.1,0.46,0.17,0.06,0.01,335.17,258.77,77.21,160.36,47.84,44.3,13.22,14.68,4.38
French Guiana,GUF,254,2025,34.73,31.67,30.76,30.36,25.09,19.8,19.43,20.38,19.78,16.8,15.98,14.18,11.93,8.88,6.22,3.92,2.23,1.06,0.39,0.06,0.01,313.67,212.22,67.66,127.52,40.65,34.73,11.07,22.77,7.26
New Caledonia,NCL,540,2025,20.63,20.68,20.97,21.29,21.57,19.59,20.68,21.66,20.84,19.43,20.06,18.06,15.11,11.84,8.96,6.94,4.25,2.01,0.65,0.13,0.01,295.33,167.06,56.57,83.57,28.3,20.63,6.99,34.78,11.78
Barbados,BRB,52,2025,15.63,16.01,16.59,18.16,18.43,18.27,18.5,18.17,18.97,18.19,19.51,18.8,19.11,17.18,13.31,9.23,5.19,2.45,0.78,0.14,0.01,282.62,139.75,49.45,66.39,23.49,15.63,5.53,48.29,17.09
French Polynesia,PYF,258,2025,14.76,17.0,20.36,21.77,20.78,18.21,19.49,21.95,21.33,19.3,19.26,18.68,15.83,12.36,9.07,5.82,3.74,1.86,0.73,0.15,0.02,282.46,154.31,54.63,73.89,26.16,14.76,5.23,33.75,11.95
